GEOID,label,Commercial Office,Commercial Office - 2+ Floors,Commercial Office - Mixed Use,Commercial Retail,Commercial Retail - Department Store,Commercial Retail - Food & Drink,Commercial Retail - Mall,"Commercial Retail - Shopping Plaza, Mini-Mall",Commercial Retail - Truck Stop,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Residential  ,Residential - Condo,Residential - Townhouse,distance_from_core
13121005504,Urban,0.0,0.0,0.0036630036630036,0.0677655677655677,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0036630036630036,0.0,0.5970695970695971,0.2673992673992674,0.0,4607.141736029933
13121005700,Urban,0.0096711798839458,0.0,0.0038684719535783,0.0386847195357833,0.0,0.0058027079303675,0.0,0.0,0.0,0.0096711798839458,0.04642166344294,0.0154738878143133,0.0,0.8065764023210832,0.0,0.0,3494.2513341652834
13121005800,Urban,0.0032258064516129,0.0,0.0064516129032258,0.0419354838709677,0.0,0.0,0.0,0.0,0.0,0.0032258064516129,0.0725806451612903,0.0129032258064516,0.0,0.7467741935483871,0.0129032258064516,0.0,3849.7682072559014
13121006000,Urban,0.0,0.0,0.0046583850931677,0.0434782608695652,0.0,0.0077639751552795,0.0,0.0046583850931677,0.0,0.0,0.0481366459627329,0.0139751552795031,0.0,0.8742236024844721,0.0,0.0,5456.5015886688925
13121006100,Urban,0.0,0.0,0.0044303797468354,0.0069620253164556,0.0,0.0012658227848101,0.0,0.0,0.0,0.0,0.020886075949367,0.0012658227848101,0.0,0.9253164556962026,0.0386075949367088,0.0,5902.576879071602
13121006200,Urban,0.0063091482649842,0.0,0.0031545741324921,0.0694006309148265,0.0,0.0047318611987381,0.0,0.0,0.0,0.0141955835962145,0.11198738170347,0.0,0.0,0.750788643533123,0.0,0.0,4792.662001456604
13121006300,Urban,0.0011560693641618,0.0,0.0080924855491329,0.0485549132947976,0.0,0.0034682080924855,0.0,0.0,0.0,0.0,0.0820809248554913,0.0115606936416184,0.0,0.8208092485549133,0.0,0.0023121387283236,4215.207564402915
13121006400,Urban,0.0,0.0,0.0,0.0306122448979591,0.0,0.0,0.0,0.0,0.0,0.0034013605442176,0.0510204081632653,0.0068027210884353,0.0,0.8571428571428571,0.0,0.0,4735.481920535982
13121006500,Urban,0.0,0.0,0.0011248593925759,0.0382452193475815,0.0,0.0016872890888638,0.0,0.0,0.0,0.0,0.0258717660292463,0.0,0.0,0.9010123734533184,0.0078740157480314,0.0,5552.763661768655
13121006601,Urban,0.0020470829068577,0.0,0.0061412487205731,0.0481064483111566,0.0,0.0,0.0,0.0,0.0,0.0030706243602865,0.052200614124872,0.0040941658137154,0.0,0.8085977482088025,0.0,0.0,6330.879865578372
13121006602,Urban,0.0,0.0,0.0059880239520958,0.0059880239520958,0.0,0.0,0.0,0.0,0.0,0.0059880239520958,0.18562874251497,0.0209580838323353,0.0,0.7754491017964071,0.0,0.0,6039.583649756365
13121006701,Urban,0.0,0.0,0.0,0.0407523510971786,0.0,0.0,0.0,0.0,0.0,0.0219435736677116,0.0031347962382445,0.0219435736677116,0.0,0.9122257053291536,0.0,0.0,5459.993033504587
13121006702,Urban,0.0022909507445589,0.0,0.0045819014891179,0.0916380297823596,0.0,0.0045819014891179,0.0,0.0,0.0,0.0045819014891179,0.0240549828178694,0.0022909507445589,0.0,0.7583046964490263,0.0389461626575028,0.0458190148911798,6044.675136907588
13121006802,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074074074074074,0.0518518518518518,0.0,0.9407407407407408,0.0,0.0,6630.42789694785
13121006900,Urban,0.0067466266866566,0.0,0.0037481259370314,0.032983508245877,0.0,0.0074962518740629,0.0,0.0,0.0,0.0,0.0232383808095952,0.0067466266866566,0.0,0.7503748125937032,0.0472263868065967,0.1131934032983508,5301.575402849634
13121007001,Urban,0.0013802622498274,0.0,0.0,0.0151828847481021,0.0,0.0013802622498274,0.0,0.0,0.0,0.0013802622498274,0.0034506556245686,0.0165631469979296,0.0,0.9565217391304348,0.0,0.0,7637.797279684099
13121007002,Urban,0.0,0.0,0.0,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0035492457852706,0.0115350488021295,0.0017746228926353,0.0,0.748890860692103,0.0008873114463176,0.1623779946761313,7586.342503347619
13121007100,Urban,0.0,0.0,0.0,0.0244530244530244,0.0,0.0051480051480051,0.0,0.0,0.0,0.0,0.0102960102960102,0.0,0.0,0.9382239382239382,0.0,0.0154440154440154,7664.518399431318
13121007200,Urban,0.0,0.0,0.0,0.0406386066763425,0.0,0.0014513788098693,0.0,0.0,0.0,0.0029027576197387,0.0,0.0058055152394775,0.0,0.8113207547169812,0.0,0.0,11276.149908183343
13121007301,Urban,0.0020833333333333,0.0,0.0,0.0180555555555555,0.0,0.0027777777777777,0.0,0.0,0.0,0.00625,0.0006944444444444,0.0083333333333333,0.0,0.8034722222222223,0.0368055555555555,0.0701388888888888,10075.21762216717
13121007302,Urban,0.0,0.0,0.0,0.0178041543026706,0.0,0.0,0.0,0.0,0.0,0.0019782393669634,0.0029673590504451,0.0029673590504451,0.0,0.9614243323442137,0.0,0.009891196834817,9632.11304362751
13121007400,Urban,0.0066555740432612,0.0049916805324459,0.0033277870216306,0.1214642262895174,0.0,0.021630615640599,0.0,0.0116472545757071,0.0,0.0149750415973377,0.0083194675540765,0.0232945091514143,0.0,0.7321131447587355,0.0,0.0,9209.15783125791
13121007500,Urban,0.0077369439071566,0.0,0.0029013539651837,0.0889748549323017,0.0,0.0154738878143133,0.0,0.0,0.0,0.0058027079303675,0.0145067698259187,0.006769825918762,0.0,0.7350096711798839,0.0735009671179884,0.0125725338491295,7583.2601882483095
13121007602,Urban,0.0,0.0,0.0,0.0488400488400488,0.0,0.0195360195360195,0.0,0.0048840048840048,0.0,0.0,0.0024420024420024,0.0097680097680097,0.0,0.8656898656898657,0.039072039072039,0.0,8889.02308478688
13121007603,Urban,0.0,0.0,0.0,0.0375335120643431,0.0,0.0,0.0,0.0080428954423592,0.0,0.0268096514745308,0.0,0.1072386058981233,0.0080428954423592,0.6032171581769437,0.0965147453083109,0.0911528150134048,7766.383556418498
