GEOID,Commercial Office,Commercial Office - 2+ Floors,Commercial Office - Mixed Use,Commercial Retail,Commercial Retail - Condomium,Commercial Retail - Department Store,Commercial Retail - Food & Drink,Commercial Retail - Gas and Service Station,"Commercial Retail - Hotel, Motel, Resort","Commercial Retail - Liquor, Convenience Store",Commercial Retail - Mall,"Commercial Retail - Park Lot, Garage","Commercial Retail - Shopping Plaza, Mini-Mall",Commercial Retail - Truck Stop,"Commercial Retail - Vet, Animal Hospital",Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Multi-Family Residential - Mobile Home Park,Residential  ,Residential - Condo,Residential - Mobile Home Park,Residential - Parking Garage,Residential - Townhouse
13057090100,0.00558659217877095,0.0,0.0,0.010411376333164043,0.0,0.0,0.0015236160487557136,0.00025393600812595224,0.0,0.0012696800406297613,0.0,0.0,0.00025393600812595224,0.0,0.0,0.0005078720162519045,0.00025393600812595224,0.0,0.0,0.0,0.8743016759776536,0.006094464195022855,0.09954291518537328,0.0,0.0
13057090200,0.0020527859237536657,0.0,0.0,0.0032258064516129032,0.0,0.0002932551319648094,0.0005865102639296188,0.0,0.0,0.0008797653958944282,0.0,0.0,0.0002932551319648094,0.0,0.0,0.0008797653958944282,0.0008797653958944282,0.0,0.0,0.0,0.8736070381231672,0.01847507331378299,0.09882697947214077,0.0,0.0
13057090300,0.0030851501439736733,0.0,0.0,0.0024681201151789387,0.0,0.0,0.00020567667626491157,0.0,0.0,0.0006170300287947347,0.0,0.0,0.0,0.0,0.0,0.0034965034965034965,0.0,0.0,0.00020567667626491157,0.0,0.9286301933360757,0.0,0.03537638831756479,0.0,0.025915261209378856
13057090400,0.04236006051437216,0.0,0.0,0.018532526475037822,0.0,0.0,0.01059001512859304,0.0007564296520423601,0.00264750378214826,0.0030257186081694403,0.0007564296520423601,0.0,0.004916792738275341,0.0,0.0,0.014750378214826021,0.0037821482602118004,0.0037821482602118004,0.00037821482602118004,0.0,0.764750378214826,0.03177004538577912,0.03895612708018154,0.0,0.058245083207261725
13057090501,0.009255363904080775,0.0,0.0,0.005048380311316786,0.0,0.00042069835927639884,0.00042069835927639884,0.0,0.0,0.002524190155658393,0.0,0.0,0.00042069835927639884,0.0,0.0,0.0008413967185527977,0.0,0.0,0.0,0.0,0.9120740429112326,0.0,0.0689945309213294,0.0,0.0
13057090502,0.0031409501374165686,0.0,0.0,0.006085590891244602,0.0,0.0,0.0009815469179426776,0.0,0.0,0.00039261876717707107,0.0,0.0,0.0005889281507656066,0.0,0.0,0.0,0.0009815469179426776,0.0,0.0,0.0,0.9575971731448764,0.0,0.030231645072634473,0.0,0.0
13057090601,0.020604395604395604,0.0,0.0,0.023809523809523808,0.0,0.0004578754578754579,0.003663003663003663,0.0004578754578754579,0.0,0.004578754578754579,0.0,0.0,0.003663003663003663,0.0,0.0,0.021062271062271064,0.0013736263736263737,0.0004578754578754579,0.0,0.0,0.8223443223443223,0.0,0.04990842490842491,0.0,0.047619047619047616
13057090602,0.026352288488210817,0.0,0.0,0.012829403606102635,0.0,0.0010402219140083217,0.0038141470180305132,0.00034674063800277393,0.0,0.0017337031900138697,0.0006934812760055479,0.0,0.0024271844660194173,0.0,0.0,0.005894590846047157,0.0010402219140083217,0.00034674063800277393,0.0,0.0,0.8956310679611651,0.0,0.040915395284327326,0.0,0.006934812760055479
13057090701,0.00694815606627472,0.0,0.0,0.0033404596472474614,0.0,0.00013361838588989844,0.0008017103153393907,0.0,0.00013361838588989844,0.0009353287012292892,0.0,0.0,0.0013361838588989846,0.0,0.0,0.0002672367717797969,0.0006680919294494923,0.0,0.0,0.0,0.8961785141635489,0.014564404061998932,0.01616782469267771,0.0,0.05852485301977552
13057090702,0.016343595591030026,0.0,0.0,0.012162675788673508,0.0,0.0,0.0003800836183960471,0.0,0.0,0.0011402508551881414,0.0,0.0,0.002280501710376283,0.0,0.0,0.012162675788673508,0.0003800836183960471,0.0,0.0,0.0,0.8852147472443938,0.0,0.058532877232991255,0.0,0.011402508551881414
