GEOID,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Multi-Family Residential - Mobile Home Park,Residential  ,Residential - Condo,Residential - Mobile Home Park,Residential - Parking Garage,Residential - Townhouse
13057090101,0.0,0.0013003901170351106,0.0,0.0,0.0,0.9330299089726918,0.0,0.06566970091027308,0.0,0.0
13057090102,0.0,0.0,0.0,0.0,0.0,0.970334928229665,0.0,0.02966507177033493,0.0,0.0
13057090103,0.0,0.0011862396204033216,0.0,0.0,0.0,0.9430604982206405,0.0,0.027283511269276393,0.0,0.028469750889679714
13057090201,0.0,0.0021929824561403508,0.0,0.0,0.0,0.944078947368421,0.0,0.0537280701754386,0.0,0.0
13057090202,0.0,0.00038138825324180017,0.0,0.0,0.0,0.9263920671243325,0.0,0.04500381388253242,0.0,0.02822273073989321
13057090301,0.0005807200929152149,0.0017421602787456446,0.0,0.0,0.0,0.9907084785133565,0.0,0.006968641114982578,0.0,0.0
13057090302,0.0,0.0,0.0,0.0,0.0,0.9650900900900901,0.0,0.03490990990990991,0.0,0.0
13057090303,0.0,0.0024937655860349127,0.0,0.0,0.0,0.9194869967937299,0.0,0.011756323477021732,0.0,0.06626291414321339
13057090401,0.010071942446043165,0.033093525179856115,0.04028776978417266,0.0,0.0,0.5597122302158274,0.0,0.0014388489208633094,0.0,0.3553956834532374
13057090402,0.0,0.0013568521031207597,0.0004522840343735866,0.0,0.0,0.9366802351876978,0.0,0.012663952962460425,0.0,0.048846675712347354
13057090503,0.0,0.0,0.0,0.0,0.0,0.9870898332436794,0.0,0.012910166756320602,0.0,0.0
13057090504,0.0,0.0,0.0,0.0,0.0,0.9931310818546079,0.0,0.006868918145392101,0.0,0.0
13057090505,0.0,0.0,0.0,0.0,0.0,0.9913836796756209,0.0,0.008616320324379118,0.0,0.0
13057090506,0.0,0.0,0.0,0.0,0.0,0.9761029411764706,0.0,0.023284313725490197,0.0,0.0006127450980392157
13057090507,0.0,0.002617801047120419,0.0,0.0,0.0,0.9568062827225131,0.0,0.04057591623036649,0.0,0.0
13057090603,0.0005452562704471102,0.0005452562704471102,0.0,0.0,0.0,0.9874591057797165,0.0,0.010905125408942203,0.0,0.0005452562704471102
13057090604,0.0,0.013029315960912053,0.0,0.0,0.0,0.9174809989142236,0.0,0.011943539630836048,0.0,0.05754614549402823
13057090605,0.0,0.040634291377601585,0.0,0.0,0.0,0.8354806739345887,0.0,0.0009910802775024777,0.0,0.12289395441030723
13057090606,0.0,0.005371530886302597,0.0008952551477170994,0.0,0.0,0.9668755595344674,0.0,0.01611459265890779,0.0,0.010743061772605193
13057090703,0.0,0.014652014652014652,0.0018315018315018315,0.0,0.0,0.9285714285714286,0.0,0.003663003663003663,0.0,0.05128205128205128
13057090704,0.0,0.008553100498930863,0.0,0.0,0.0,0.9821810406272273,0.0,0.009265858873841768,0.0,0.0
13057090705,0.0,0.0,0.0,0.0,0.0,0.9785177228786252,0.0,0.021482277121374866,0.0,0.0
13057090706,0.0,0.0,0.0,0.0,0.0,0.924506387921022,0.0,0.0017421602787456446,0.0,0.07375145180023229
13057090707,0.0,0.0,0.0,0.0,0.0,0.8467384420519316,0.0,0.0,0.0,0.1532615579480684
13057090708,0.0,0.0007042253521126761,0.0,0.0,0.0,0.826056338028169,0.0,0.009154929577464789,0.0,0.16408450704225352
13057090709,0.0,0.0,0.0,0.0,0.0,0.8536363636363636,0.0,0.0027272727272727275,0.0,0.14363636363636365
13057090710,0.0,0.0,0.0,0.0,0.0,0.9961270333075135,0.0,0.0038729666924864447,0.0,0.0
13057090805,0.0,0.0,0.0,0.0,0.0,0.943437671609006,0.050521691378363535,0.0060406370126304225,0.0,0.0
13057090806,0.0,0.0,0.0,0.0,0.0,0.799535153980244,0.0,0.0011621150493898896,0.0,0.19930273097036608
13057090807,0.0,0.0003729951510630362,0.0,0.0,0.0,0.9768743006340918,0.0,0.0007459903021260724,0.0,0.022006713912719134
13057090808,0.0,0.0,0.0,0.0,0.0,0.9643916913946587,0.03391267486222976,0.001695633743111488,0.0,0.0
13057090809,0.0,0.0,0.0,0.0,0.0,0.9890815671162492,0.0,0.010918432883750802,0.0,0.0
13057090810,0.0,0.0012787723785166241,0.0,0.0,0.0,0.9923273657289002,0.0,0.005754475703324808,0.0,0.0006393861892583121
13057090905,0.0,0.0,0.0,0.0,0.0,0.9535891089108911,0.0006188118811881188,0.0018564356435643563,0.0,0.04393564356435643
13057090906,0.0,0.0,0.0,0.0,0.0,0.7504409171075838,0.0,0.0008818342151675485,0.0,0.24867724867724866
13057090907,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13057090908,0.0,0.0,0.0,0.0,0.0,0.7388888888888889,0.0,0.0,0.0,0.2611111111111111
13057090909,0.0016085790884718498,0.008579088471849867,0.028418230563002682,0.0,0.0,0.8166219839142091,0.0418230563002681,0.0,0.0,0.10294906166219839
13057090910,0.0,0.0005913660555884093,0.0,0.0,0.0,0.989946777054997,0.0011827321111768185,0.0005913660555884093,0.0,0.00768775872264932
13057090911,0.0,0.0,0.0,0.0,0.0,0.9912758996728462,0.0,0.006543075245365322,0.0,0.0021810250817884407
13057090912,0.0,0.0,0.0,0.0,0.0,0.9684431977559608,0.0,0.030855539971949508,0.0,0.0007012622720897616
13057091001,0.0,0.005104934770277935,0.0011344299489506524,0.0,0.0,0.629608621667612,0.0,0.005104934770277935,0.0,0.35904707884288145
